58463 2015   12   141213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2056 320  15 312  15 324  19------------00000000--------00000000  79----------------  90  96  6410237----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2057 320  17 313  15 316  31------------00000000--------00000000  79----------------  90  96  6410237----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2058 321  20 313  15 327  30------------00000000--------00000000  79----------------  90  96  6410237----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2059 330  17 316  16 333  19------------00000000--------00000000  79----------------  90  96  6410237----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2100 325  16 317  16 317  30------------00000000--------00000000  78----------------  90  95  6310237----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2101 320  21 319  17 323  29------------00000000--------00000000  78----------------  90  95  6310236----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2102 325  25 320  18 326  30------------00000000--------00000000  78----------------  90  95  6310236----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2103 327  24 322  19 328  31------------00000000--------00000000  78----------------  90  95  6310235----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2104 336  22 325  20 343  28------------00000000--------00000000  78----------------  90  95  6310234----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2105 344  24 328  21 345  48------------00000000--------00000000  78----------------  90  95  6310234----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2106 348  31 331  23 351  44------------00000000--------00000000  78----------------  90  95  6310233----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2107 346  31 333  24 341  38------------00000000--------00000000  78----------------  90  95  6310234----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2108 342  24 335  24 343  29------------00000000--------00000000  78----------------  90  95  6310235----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2109 343  22 336  25 343  32------------00000000--------00000000  78----------------  90  95  6310235----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2110 340  19 338  24 337  22------------00000000--------00000000  78----------------  90  95  6310235----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2111 340  21 340  25 342  38------------00000000--------00000000  78----------------  90  95  6310236----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2112 343  24 342  24 343  27------------00000000--------00000000  78----------------  90  95  6310236----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2113 339  24 342  24 336  30------------00000000--------00000000  78----------------  90  95  6310236----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2114 337  26 342  25 337  31------------00000000--------00000000  78----------------  90  95  6310236----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2115 340  21 342  24 343  23------------00000000--------00000000  78----------------  90  95  6310237----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2116 327  14 338  22 311  20------------00000000--------00000000  78----------------  90  95  6310236----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2117 317  13 336  20 323  18------------00000000--------00000000  78----------------  90  95  6310236----  79----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2118 321  11 334  19 320  14------------00000000--------00000000  78----------------  90  95  6310236----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2119 315   9 330  17 311  10------------00000000--------00000000  78----------------  90  95  6310236----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2120 322   8 330  17 333  11------------00000000--------00000000  78----------------  90  95  6310237----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2121 328   9 328  15 323  17------------00000000--------00000000  78----------------  90  95  6310237----  80----  88  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2122 332  16 328  15 341  27------------00000000--------00000000  78----------------  90  95  6310237----  80----  87  97 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2123 334  19 327  14 327  23------------00000000--------00000000  78----------------  90  95  6310237----  80----  87  96 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
2124 331  17 327  13 334  25------------00000000--------00000000  78----------------  90  95  6310237----  80----  87  96 103 106-------------------------------------------------------------------------------000000NNN00NN000NNNN0010N0N0111NNNNNNNNNNNNNNNNN
