58463 2016   01   261213000E305300N   46   56  105    031-------1111-1-111-1111111111-------V1.00---------------------------------------------------------------------------------------------------------------------------------------------------------------
2057 288   8 277   8 290   9------------00000000--------00000000 -50----------------  72  30 -9310347---- -36----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2058 288   8 279   8 286   9------------00000000--------00000000 -50----------------  72  30 -9310347---- -37----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2059 285   9 280   8 284  10------------00000000--------00000000 -51----------------  73  31 -9210347---- -37----  -1   6  17  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2100 282  10 281   9 280  12------------00000000--------00000000 -51----------------  74  31 -9010347---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2101 279  10 282   9 278  11------------00000000--------00000000 -51----------------  75  31 -8810347---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2102 277  10 282   9 276  12------------00000000--------00000000 -51----------------  75  31 -8810347---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2103 277  11 282   9 277  13------------00000000--------00000000 -52----------------  76  32 -8810347---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2104 278  11 282  10 279  12------------00000000--------00000000 -52----------------  76  32 -8810347---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2105 281  11 282  10 283  11------------00000000--------00000000 -52----------------  76  32 -8810347---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2106 281  10 281  10 280  11------------00000000--------00000000 -53----------------  76  31 -8910346---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2107 277  10 280  10 273  12------------00000000--------00000000 -53----------------  77  32 -8710346---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2108 270  11 278  10 266  13------------00000000--------00000000 -53----------------  77  32 -8710346---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2109 266  12 276  11 267  15------------00000000--------00000000 -53----------------  77  32 -8710346---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2110 271  13 276  11 276  16------------00000000--------00000000 -53----------------  76  31 -8910346---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2111 277  14 276  12 279  17------------00000000--------00000000 -52----------------  76  32 -8810346---- -37----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2112 279  14 276  12 280  15------------00000000--------00000000 -53----------------  76  31 -8910345---- -37----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2113 279  11 276  12 279  12------------00000000--------00000000 -53----------------  77  32 -8710345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2114 273  10 275  12 268  13------------00000000--------00000000 -53----------------  77  32 -8710345---- -38----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2115 268  12 274  12 267  13------------00000000--------00000000 -53----------------  78  32 -8510345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2116 266  12 272  12 265  14------------00000000--------00000000 -53----------------  78  32 -8510345---- -38----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2117 266  11 271  12 267  12------------00000000--------00000000 -53----------------  78  32 -8510345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2118 266  11 271  12 265  12------------00000000--------00000000 -53----------------  78  32 -8510345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2119 264  11 271  12 264  12------------00000000--------00000000 -53----------------  77  32 -8710345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2120 264  11 270  12 264  13------------00000000--------00000000 -54----------------  77  31 -8810345---- -38----  -1   6  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2121 260  11 267  11 256  14------------00000000--------00000000 -53----------------  76  31 -8910345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2122 252  12 264  11 249  14------------00000000--------00000000 -53----------------  76  31 -8910345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2123 249  13 261  12 248  15------------00000000--------00000000 -53----------------  76  31 -8910345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2124 248  14 259  12 248  16------------00000000--------00000000 -53----------------  75  31 -9010345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2125 245  14 257  12 242  15------------00000000--------00000000 -53----------------  75  31 -9010345---- -38----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2126 244  14 255  12 246  17------------00000000--------00000000 -53----------------  74  30 -9210345---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2127 250  15 254  13 254  16------------00000000--------00000000 -53----------------  74  30 -9210345---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2128 257  14 253  13 260  15------------00000000--------00000000 -53----------------  74  30 -9210345---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
2129 263  12 253  13 265  14------------00000000--------00000000 -52----------------  75  31 -8910345---- -39----  -1   7  18  26-------------------------------------------------------------------------------000000NNN00NN000NNNN0000N0N0011NNNNNNNNNNNNNNNNN
